G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,TRAIN
-3,-3,-0.02946428571428572,2.5999999999999943,-6.799999999999997,0.17999999999999994,-3.1000000000000014,-2.1999999999999957,-2.8999999999999986,-3.900000000000002,-0.6999999999999993,-4.899999999999999,0.09999999999999432,-3.8000000000000043,-4.0,-3.6000000000000014,-0.6999999999999957,0.5,-2.299999999999997,4.4,-8,0,1.0
2,3,0.044117647058823484,-2.0,-0.6000000000000085,-0.01760000000000006,-2.799999999999997,-2.8999999999999986,-1.200000000000001,0.1999999999999993,5.100000000000001,-2.400000000000002,7.4999999999999964,2.6000000000000014,0.10000000000000142,-4.399999999999999,-5.300000000000004,1.1000000000000014,4.900000000000006,1.3,-1,1,0.0
6,8,0.11625615763546804,9.5,-7.700000000000003,0.28670000000000007,-1.7999999999999972,-2.6000000000000014,-1.3000000000000007,-1.0999999999999979,9.399999999999999,-4.699999999999999,-12.200000000000003,1.6999999999999993,-0.8999999999999986,-5.5,-2.6999999999999957,2.5,2.0999999999999943,7.199999999999999,-8,1,1.0
3,-1,-0.08838383838383845,8.5,-8.399999999999991,0.23809999999999998,-4.200000000000003,-0.29999999999999716,-0.6999999999999993,-2.1000000000000014,7.700000000000003,-3.6000000000000014,4.5,-9.5,-1.0,-2.3999999999999986,-6.899999999999999,3.5,-2.1000000000000014,3.1999999999999997,-3,1,1.0
1,3,0.06825396825396834,9.099999999999994,-3.5,0.2704,2.0,0.8999999999999986,-2.5,-1.8000000000000007,-0.4000000000000057,-4.5,-0.0,-1.3000000000000043,0.7999999999999972,-2.0,3.5999999999999943,3.700000000000003,1.5,7.5,-3,1,0.0
3,-1,-0.08426073131955492,6.200000000000003,-2.9000000000000057,0.12470000000000003,1.2999999999999972,4.200000000000003,1.8000000000000007,-4.399999999999999,1.3000000000000007,-7.4999999999999964,0.7999999999999972,-6.5,0.30000000000000426,5.799999999999997,2.8999999999999986,1.5,2.299999999999997,4.3,-8,1,1.0
6,0,-0.13333333333333341,8.0,6.799999999999997,0.0033999999999999586,-0.7999999999999972,-0.0,-2.3999999999999986,-11.099999999999998,-0.7999999999999972,1.4000000000000021,-1.3999999999999986,-14.200000000000003,-1.6000000000000014,-3.200000000000003,0.5,4.100000000000001,-2.700000000000003,3.5,-8,1,0.0
3,0,-0.06964285714285712,8.0,1.2999999999999972,0.08940000000000003,3.3000000000000043,1.6000000000000014,0.7999999999999972,-3.400000000000002,-1.2999999999999972,3.5,-8.399999999999999,-13.200000000000003,1.6999999999999957,0.7000000000000028,4.0,2.1000000000000014,-3.5,3.2,-8,1,0.0
4,0,-0.07534807534807542,8.0,-5.900000000000006,0.2633000000000001,-1.7000000000000028,-2.1000000000000014,1.0,1.0,4.800000000000001,9.599999999999998,0.5,-14.399999999999999,-0.5999999999999943,0.10000000000000142,-3.200000000000003,-4.0000000000000036,-3.0,2.9000000000000004,-5,1,1.0
2,1,-0.01158301158301156,12.100000000000009,-6.700000000000003,0.272,-4.300000000000004,-0.0,-0.6999999999999993,4.900000000000002,14.600000000000001,-2.1999999999999957,-1.8000000000000007,15.200000000000003,-6.700000000000003,-3.3000000000000043,-0.6000000000000014,3.0,-4.700000000000003,7.1,-8,1,0.0
4,0,-0.08190008190008191,7.5,-8.5,0.36210000000000003,0.3999999999999986,-2.5,-0.0,0.9000000000000021,-0.0,3.599999999999998,3.599999999999998,5.9999999999999964,5.299999999999997,-2.1000000000000014,-4.100000000000001,-2.0,-2.799999999999997,7.4,-7,1,0.0
2,-1,-0.06872586872586872,1.2999999999999972,-7.1000000000000085,0.12390000000000001,-3.0,-2.0,2.1000000000000014,-1.3000000000000007,3.8000000000000043,1.8999999999999986,14.100000000000001,-7.200000000000003,-3.0999999999999943,-0.3999999999999986,-1.3999999999999986,-3.0,-3.799999999999997,5.6,-8,1,0.0
2,-6,-0.20321637426900585,0.8999999999999915,-5.8999999999999915,0.12290000000000001,0.7000000000000028,2.299999999999997,0.3000000000000007,4.199999999999999,-4.100000000000001,1.8000000000000007,0.6999999999999993,0.8999999999999986,1.5,8.099999999999994,-0.7999999999999972,-4.899999999999999,-1.1999999999999886,-1.8,-1,1,0.0
3,-6,-0.34615384615384615,10.5,2.799999999999997,0.13729999999999998,-0.8999999999999986,5.300000000000004,-2.799999999999997,-9.099999999999998,-0.20000000000000284,-3.5,-1.3999999999999986,-14.5,-0.19999999999999574,3.1000000000000014,-1.0,6.0,-5.299999999999997,2.1,-3,1,1.0
0,-2,-0.08695652173913038,3.5999999999999943,-13.699999999999989,0.37670000000000003,-1.1000000000000014,-2.8999999999999986,5.0,2.3000000000000007,7.5,-1.5,5.9999999999999964,1.6999999999999957,2.1999999999999957,-0.6000000000000014,-3.0999999999999943,-5.0,-2.8000000000000114,6.5,-8,1,1.0
-3,-1,0.047272727272727244,13.5,2.1000000000000085,0.14979999999999993,-1.2000000000000028,6.099999999999994,-6.899999999999999,-2.3999999999999986,-0.0,-2.099999999999998,2.8000000000000007,-5.899999999999999,-0.10000000000000142,6.200000000000003,-2.0999999999999943,3.799999999999997,1.7999999999999972,5.7,-8,1,0.0
